step,active_robots,cumulative_deliveries
0,30,0
1,30,0
2,30,0
3,30,0
4,30,0
5,30,0
6,30,0
7,30,0
8,30,0
9,30,0
10,30,0
11,30,0
12,29,1
13,29,1
14,28,2
15,28,2
16,28,2
17,28,2
18,27,3
19,27,3
20,27,3
21,27,3
22,27,3
23,27,3
24,27,3
25,27,3
26,27,3
27,27,3
28,27,3
29,27,3
30,27,3
31,27,3
32,27,3
33,27,3
34,27,3
35,27,3
36,27,3
37,27,3
38,27,3
39,27,3
40,27,3
41,27,3
42,27,3
43,27,3
44,27,3
45,27,3
46,27,3
47,27,3
48,27,3
49,27,3
50,27,3
51,27,3
52,27,3
53,27,3
54,27,3
55,27,3
56,27,3
57,27,3
58,27,3
59,27,3
60,27,3
61,27,3
62,27,3
63,27,3
64,27,3
65,27,3
66,27,3
67,27,3
68,27,3
69,27,3
70,27,3
71,27,3
72,27,3
73,27,3
74,27,3
75,27,3
76,27,3
77,27,3
78,27,3
79,27,3
80,27,3
81,27,3
82,27,3
83,27,3
84,27,3
85,27,3
86,27,3
87,27,3
88,27,3
89,27,3
90,27,3
91,27,3
92,27,3
93,27,3
94,27,3
95,27,3
96,27,3
97,27,3
98,27,3
99,27,3
100,27,3
101,27,3
102,27,3
103,27,3
104,27,3
105,27,3
106,27,3
107,27,3
108,27,3
109,27,3
110,27,3
111,27,3
112,27,3
113,27,3
114,27,3
115,27,3
116,27,3
117,27,3
118,27,3
119,27,3
120,27,3
121,27,3
122,27,3
123,27,3
124,27,3
125,27,3
126,27,3
127,27,3
128,27,3
129,27,3
130,27,3
131,27,3
132,27,3
133,27,3
134,27,3
135,27,3
136,27,3
137,27,3
138,27,3
139,27,3
140,27,3
141,27,3
142,27,3
143,27,3
144,27,3
145,27,3
146,27,3
147,27,3
148,27,3
149,27,3
150,27,3
151,27,3
152,27,3
153,27,3
154,27,3
155,27,3
156,27,3
157,27,3
158,27,3
159,27,3
160,27,3
161,27,3
162,27,3
163,27,3
164,27,3
165,27,3
166,27,3
167,27,3
168,27,3
169,27,3
170,27,3
171,27,3
172,27,3
173,27,3
174,27,3
175,27,3
176,27,3
177,27,3
178,27,3
179,27,3
180,27,3
181,27,3
182,27,3
183,27,3
184,27,3
185,27,3
186,27,3
187,27,3
188,27,3
189,27,3
190,27,3
191,27,3
192,27,3
193,27,3
194,27,3
195,27,3
196,27,3
197,27,3
198,27,3
199,27,3
200,27,3
201,27,3
202,27,3
203,27,3
204,27,3
205,27,3
206,27,3
207,27,3
208,27,3
209,27,3
210,27,3
211,27,3
212,27,3
213,27,3
214,27,3
215,27,3
216,27,3
217,27,3
218,27,3
219,27,3
220,27,3
221,27,3
222,27,3
223,27,3
224,27,3
225,27,3
226,27,3
227,27,3
228,27,3
229,27,3
230,27,3
231,27,3
232,27,3
233,27,3
234,27,3
235,27,3
236,27,3
237,27,3
238,27,3
239,27,3
240,27,3
241,27,3
242,27,3
243,27,3
244,27,3
245,27,3
246,27,3
247,27,3
248,27,3
249,27,3
250,27,3
251,27,3
252,27,3
253,27,3
254,27,3
255,27,3
256,27,3
257,27,3
258,27,3
259,27,3
260,27,3
261,27,3
262,27,3
263,27,3
264,27,3
265,27,3
266,27,3
267,27,3
268,27,3
269,27,3
270,27,3
271,27,3
272,27,3
273,27,3
274,27,3
275,27,3
276,27,3
277,27,3
278,27,3
279,27,3
280,27,3
281,27,3
282,27,3
283,27,3
284,27,3
285,27,3
286,27,3
287,27,3
288,27,3
289,27,3
290,27,3
291,27,3
292,27,3
293,27,3
294,27,3
295,27,3
296,27,3
297,27,3
298,27,3
299,27,3
300,27,3
301,27,3
302,27,3
303,27,3
304,27,3
305,27,3
306,27,3
307,27,3
308,27,3
309,27,3
310,27,3
311,27,3
312,27,3
313,27,3
314,27,3
315,27,3
316,27,3
317,27,3
318,27,3
319,27,3
320,27,3
321,27,3
322,27,3
323,27,3
324,27,3
325,27,3
326,27,3
327,27,3
328,27,3
329,27,3
330,27,3
331,27,3
332,27,3
333,27,3
334,27,3
335,27,3
336,27,3
337,27,3
338,27,3
339,27,3
340,27,3
341,27,3
342,27,3
343,27,3
344,27,3
345,27,3
346,27,3
347,27,3
348,27,3
349,27,3
350,27,3
351,27,3
352,27,3
353,27,3
354,27,3
355,27,3
356,27,3
357,27,3
358,27,3
359,27,3
360,27,3
361,27,3
362,27,3
363,27,3
364,27,3
365,27,3
366,27,3
367,27,3
368,27,3
369,27,3
370,27,3
371,27,3
372,27,3
373,27,3
374,27,3
375,27,3
376,27,3
377,27,3
378,27,3
379,27,3
380,27,3
381,27,3
382,27,3
383,27,3
384,27,3
385,27,3
386,27,3
387,27,3
388,27,3
389,27,3
390,27,3
391,27,3
392,27,3
393,27,3
394,27,3
395,27,3
396,27,3
397,27,3
398,27,3
399,27,3
400,27,3
401,27,3
402,27,3
403,27,3
404,27,3
405,27,3
406,27,3
407,27,3
408,27,3
409,27,3
410,27,3
411,27,3
412,27,3
413,27,3
414,27,3
415,27,3
416,27,3
417,27,3
418,27,3
419,27,3
420,27,3
421,27,3
422,27,3
423,27,3
424,27,3
425,27,3
426,27,3
427,27,3
428,27,3
429,27,3
430,27,3
431,27,3
432,27,3
433,27,3
434,27,3
435,27,3
436,27,3
437,27,3
438,27,3
439,27,3
440,27,3
441,27,3
442,27,3
443,27,3
444,27,3
445,27,3
446,27,3
447,27,3
448,27,3
449,27,3
450,27,3
451,27,3
452,27,3
453,27,3
454,27,3
455,27,3
456,27,3
457,27,3
458,27,3
459,27,3
460,27,3
461,27,3
462,27,3
463,27,3
464,27,3
465,27,3
466,27,3
467,27,3
468,27,3
469,27,3
470,27,3
471,27,3
472,27,3
473,27,3
474,27,3
475,27,3
476,27,3
477,27,3
478,27,3
479,27,3
480,27,3
481,27,3
482,27,3
483,27,3
484,27,3
485,27,3
486,27,3
487,27,3
488,27,3
489,27,3
490,27,3
491,27,3
492,27,3
493,27,3
494,27,3
495,27,3
496,27,3
497,27,3
498,27,3
499,27,3
