iteration,max_delta
0,10201.000000
1,10098.990234
2,9998.000000
3,9898.020508
4,9799.040039
5,9701.050781
6,9604.040039
7,9507.999023
8,9412.919922
9,9318.790039
10,9225.602539
11,9133.347656
12,9042.013672
13,8951.593750
14,8862.077148
15,8773.456055
16,8685.722656
17,8594.648438
18,8508.661133
19,8419.359375
20,8330.951172
21,8243.464844
22,8160.909668
23,8075.164062
24,7994.250977
25,7905.867188
26,7826.561523
27,7743.909180
28,7662.040527
29,7580.426270
30,7500.611816
31,7421.038574
32,7342.707031
33,7263.081055
34,7186.110840
35,7112.998535
36,7041.868652
37,6967.376465
38,70.983398
39,70.273438
40,69.570801
41,68.875000
42,68.186035
43,67.504395
44,66.829590
45,66.160645
46,65.499023
47,64.844238
48,64.195801
49,63.554199
50,62.918457
51,62.289551
52,61.666504
53,61.049805
54,60.439453
55,59.834961
56,59.236816
57,58.644531
58,58.057617
59,57.477051
60,56.902344
61,56.333496
62,55.770508
63,55.212891
64,54.660645
65,54.114258
66,53.573242
67,53.037598
68,52.507324
69,51.981445
70,51.461914
71,50.947266
72,50.437988
73,49.932617
74,49.433594
75,48.939453
76,48.450195
77,47.965332
78,47.485840
79,47.010742
